名称,ID
精·加持的秘技之境短剑 : [冰刃·波动剑],500073
精·加持的神之怒击短剑 : [冰刃·波动剑],500074
精·加持的敏捷之灵短剑 : [修罗邪光斩],500075
精·加持的禁锢之限短剑 : [修罗邪光斩],500076
精·加持的残忍之弑短剑 : [不动明王阵],500077
精·加持的禁锢之限短剑 : [不动明王阵],500078
精·加持的神之怒击短剑 : [不动明王阵],500079
精·加持的残忍之弑短剑 : [鬼斩],500080
精·加持的禁锢之限短剑 : [鬼斩],500081
精·加持的神之怒击短剑 : [鬼斩],500082
精·加持的禁锢之限短剑 : [刀魂之卡赞],500083
精·加持的残忍之弑短剑 : [冰霜之萨亚],500084
精·加持的禁锢之限短剑 : [冰霜之萨亚],500085
精·加持的残忍之弑短剑 : [鬼影闪],500086
精·加持的神之怒击短剑 : [鬼影闪],500087
精·加持的残忍之弑短剑 : [拔刀斩],500088
精·加持的神之怒击短剑 : [拔刀斩],500089
精·加持的残忍之弑短剑 : [破军升龙击],500090
精·加持的疾风之影短剑 : [破军升龙击],500091
精·加持的残忍之弑短剑 : [猛龙断空斩],500092
精·加持的神之怒击短剑 : [猛龙断空斩],500093
精·加持的残忍之弑短剑 : [幻影剑舞],500094
精·加持的神之怒击短剑 : [幻影剑舞],500095
精·加持的时光之袭短剑 : [鬼印珠],500096
精·加持的秘技之境短剑 : [鬼印珠],500097
精·加持的禁锢之限短剑 : [鬼印珠],500098
精·加持的时光之源短剑 : [鬼印珠],500099
精·加持的神之怒击短剑 : [鬼印珠],500100
精·加持的残忍之弑短剑 : [邪光斩],500101
精·加持的时光之源短剑 : [不动明王阵],500102
精·加持的残忍之弑短剑 : [冰刃·波动剑],500103
精·加持的秘技之境短剑 : [冰刃·波动剑],500104
精·加持的神之怒击短剑 : [冰刃·波动剑],500105
精·加持的敏捷之灵短剑 : [修罗邪光斩],500106
精·加持的禁锢之限短剑 : [修罗邪光斩],500107
精·加持的残忍之弑短剑 : [不动明王阵],500108
精·加持的禁锢之限短剑 : [不动明王阵],500109
精·加持的神之怒击短剑 : [不动明王阵],500110
精·加持的残忍之弑短剑 : [鬼斩],500111
精·加持的禁锢之限短剑 : [鬼斩],500112
精·加持的神之怒击短剑 : [鬼斩],500113
精·加持的禁锢之限短剑 : [刀魂之卡赞],500114
精·加持的残忍之弑短剑 : [冰霜之萨亚],500115
精·加持的禁锢之限短剑 : [冰霜之萨亚],500116
精·加持的残忍之弑短剑 : [鬼影闪],500117
精·加持的神之怒击短剑 : [鬼影闪],500118
精·加持的残忍之弑短剑 : [拔刀斩],500119
精·加持的神之怒击短剑 : [拔刀斩],500120
精·加持的残忍之弑短剑 : [破军升龙击],500121
精·加持的疾风之影短剑 : [破军升龙击],500122
精·加持的残忍之弑短剑 : [猛龙断空斩],500123
精·加持的神之怒击短剑 : [猛龙断空斩],500124
精·加持的残忍之弑短剑 : [幻影剑舞],500125
精·加持的神之怒击短剑 : [幻影剑舞],500126
精·加持的时光之袭短剑 : [鬼印珠],500127
精·加持的秘技之境短剑 : [鬼印珠],500128
精·加持的禁锢之限短剑 : [鬼印珠],500129
精·加持的时光之源短剑 : [鬼印珠],500130
精·加持的神之怒击短剑 : [鬼印珠],500131
精·加持的残忍之弑短剑 : [邪光斩],500132
精·加持的时光之源短剑 : [不动明王阵],500133
精·加持的疾风之影短剑 : [冰刃·波动剑],500142
精·加持的疾风之影短剑 : [冰刃·波动剑],500143
神之豁免短剑,27145
裂魂之异次元短剑 - 鬼泣,505000
裂魂之异次元短剑 - 阿修罗,505004
裂魂之异次元短剑 - 剑魂,505008
精·苍鹰之眸短剑,500134
精·黑山流波短剑,500135
精·暗影之怒短剑,500136
精·削肉断骨短剑,500137
精·黑暗之刃短剑,500138
精·冥炎之灵短剑,500139
精·幻影之怒短剑,500140
精·领域支配者短剑,500141
遗忘者的远古短剑,505001
黑暗之魂短剑,505002
夜叉王的降神短剑,505003
虚空之怒波短剑,505005
终结之波动短剑,505006
大地之裂波短剑,505007
冽风之痕短剑,505009
七伤剑气短剑,505010
天之剑痕短剑,505011
潜龙幻影短剑,505012
(旧) 古老的脊骨剑,27014
(旧) 脊骨剑,27015
(旧) 疾风剑,27016
(旧) 锋利的脊骨剑,27017
(旧) 生锈的青铜剑,27018
(旧) 青铜剑,27019
(旧) 春阳融雪剑,27020
(旧) 紫薇星剑,27021
(旧) 闪耀的青铜剑,27022
(旧) 破损的士兵短剑,27023
(旧) 士兵短剑,27024
(旧) 萨乌塔的椎骨剑,27025
(旧) 锋利的士兵短剑,27026
(旧) 卢克西的紫炎波刃剑,27027
(旧) 苍月剑,27028
(旧) 古老的波刃骨剑,27029
(旧) 波刃骨剑,27030
(旧) 锋利的波刃骨剑,27031
(旧) 艾米丽的银妆刀,27032
(旧) 落日幻影,27033
(旧) 劣质的钛剑,27034
(旧) 钛剑,27035
(旧) 坚韧的钛剑,27036
(旧) 丹砂剑,27037
(旧) 卡露亚的教导 - 裂风,27038
(旧) 古老的哨兵侍剑,27039
(旧) 哨兵侍剑,27040
(旧) 震波剑,27041
(旧) 锋利的哨兵侍剑,27042
G.S.D的古剑,27043
(旧) 古老的宽刃剑,27047
(旧) 宽刃剑,27048
班图的左手剑,27200
古老的脊骨剑,27049
脊骨剑,27050
疾风剑,27051
破损的士兵短剑,27056
士兵短剑,27057
卢克西的紫炎波刃剑,27059
苍月剑,27062
劣质的钛剑,27064
钛剑,27065
震波剑,27066
卡露亚的教导 - 裂风,27069
诺顿的铸剑,27077
武士斗剑,27078
骑士佩剑,27079
达人之落日幻影,27081
(旧) 万剑之王 - 西方之焰,27097
命运之殇波刃骨剑,27103
信仰之力钛剑,27104
不屈之志哨兵侍剑,27105
普通短剑,27118
仿制短剑,27119
古老的丹砂剑,27137
简易短剑,27146
雷霆怒,27147
高科技钛剑,27152
旅行者短剑,2220000
锥心短剑,2220001
帝国之玄铁短剑,2220002
精铸短剑,2220103
精炼的短剑,2220104
青铜锯齿剑,2220105
精炼的锯齿短剑,2220106
青渊短剑,2220107
邪灵护佑短剑,2220108
天冥短剑,2220109
洛希专用克里斯[网咖],27165
贝尔扎克(傀儡),101000005
破损的铁剑,27000
生锈的短剑,27007
紫薇星剑,27052
落日幻影,27068
圣鹰之剑,27075
骸麒的脚爪[网咖],27163
紫色之刃[网咖],27164
问答无用[网咖],27166
骸麒魔剑,27046
传承 : 银湖水仙之黑铁剑,27082
传承 : 神秘的银湖水仙之黑铁剑,27083
传承 : 水魔碧灵之钢剑,27084
传承 : 神秘的水魔碧灵之钢剑,27085
传承 : 雪魂冰魄之青铜剑,27086
传承 : 炽焰天使之士兵短剑,27087
传承 : 迷踪天使之波刃骨剑,27088
传承 : 复魂天使之钛剑,27089
传承 : 暗影精灵之哨兵侍剑,27090
(旧) 碎风乱波剑,27092
古老的宽刃剑,27072
宽刃剑,27073
邪灵饮血剑,27076
传承 : 玄月精灵之宽刃剑,27091
(旧) 雷鸣剑 - 坎亚,27096
无影剑 - 艾雷诺,27098
狱岩石短剑,27100
G.S.D的究极波动刃,27102
远古逆袭之突刺剑,27106
传承 : 愤怒精灵之闪特剑,27108
牛头统帅的犄角,27111
巴恩的短剑(APC),27113
双剑 - 百鬼乱舞,27117
破旧的赫顿士兵短剑,27120
赫顿士兵短剑,27121
艾特兰的凝视短剑,27122
传承 : 禁锢天使的突刺剑,27124
传承 : 洛水精灵的士兵短剑,27129
破碎之命运,27130
安佛拉斯的暴怒,27131
高科技士兵短剑,27134
高科技士兵短剑,27135
深海之士兵短剑,27136
邪影之痕,27140
寒凌冰魄剑,27148
钢铁之鳞牙,27149
巴恩的飓风短剑,27150
邪灵饮血剑 (活动),27151
战争英雄之无双短剑,27155
生锈的海盗之剑,27160
海盗之剑,27161
青藤钢剑,2220110
暗影追魂剑,2220111
刺轮冥月刀,2220112
巫师之怒,2220113
风波剑,2220114
迪亚波卡之剑[网咖],27167
因普雷特斯[网咖],27168
邪灵饮血剑[活动],101000007
泰拉石短剑,27099
(旧) 泰拉石短剑,27138
生锈的铁剑,27001
腐烂的骨剑,27003
骨剑,27004
精致的铁剑,27005
锋利的骨剑,27006
新式短剑,27009
破旧的钢剑,27010
钢剑,27011
精炼的钢剑,27012
生锈的青铜剑,27053
青铜剑,27054
古老的波刃骨剑,27060
波刃骨剑,27061
古老的哨兵侍剑,27070
哨兵侍剑,27071
远古青铜剑,27044
萨乌塔的椎骨剑,27058
丹砂剑,27067
牛头怪的血剑,27013
帝国短剑,27045
春阳融雪剑,27055
艾米丽的银妆刀,27063
蓝冰弯月剑,27074
沙凡特的冰齿剑,27094
古老的突刺剑,27109
突刺剑,27110
四辰斩邪剑,27112
万剑之王 - 西方之焰,27115
雷鸣剑 - 坎亚,27116
破旧的奥尔顿短剑,27125
奥尔顿短剑,27126
布鲁之怨灵短剑,27142
泰坦的突刺剑,27144
天神怒炎剑,27080
波动摄魔剑,27123
真·波动摄魔剑,27132
赤原猎犬,27143
四辰斩邪剑[活动],101000010
安佛拉斯的暴怒[活动],101000008
短剑,27008
黑铁剑,27002
龙神决,101000017
海洋匕首,101000013
心之海洋匕首,101000014
极影剑,101000015
御龙决,101000016
青铜短剑,2220102
灵跃之短剑,101000021
无尽之逐神短剑,101000023
死灵之咒,101000018
冥刹鬼影剑,27154
祭坛执掌者之剑,27128
古代遗骨的青铜剑[网咖],27169
古代遗骨的青铜剑[活动],101000001
古代遗骨的青铜剑[租借活动],101000002
落日幻影[活动],101000006
碎风乱波剑,27114
戾波之尖啸,27139
远古遗骸的青铜剑,27141
龙牙短剑,27162
魔爆剑 - 卡拉博格,27107
黄金短剑,27127
真·黄金短剑,27133
远古遗骸的青铜剑[活动],101000009
修罗之戮,101000004
天道之修罗剑,101000003
紫薇星剑[活动],101000029
灼魂之魔刹短剑,101000019
杰诺的灵魂之剑,101000030
镇魂之封灵短剑,101000027
释魂之真灵短剑,101000028
成长的斯特洛克剑[活动],601000000
无限的斯特洛克剑,601000001
传承： 神秘的水魔碧灵之钢剑 [活动],601000002
传承： 炽焰天使之士兵短剑 [活动],601000003
传承： 复魂天使之钛剑 [活动],601000004
传承：  玄月精灵之宽刃剑 [活动],601000005
传承： 禁锢天使的突刺剑 [活动],601000006
传承： 洛水精灵的士兵短剑 [活动],601000007
茁壮冒险家的成长短剑,601000008
天丛云,11548
无影剑 - 艾格斯,11549
阴剑 - 莫邪,11755
冥炎绝杀刀,27700
精良的冥炎绝杀刀,27753
残忍之弑太刀 : [拔刀斩],520000
神之怒击太刀 : [拔刀斩],520001
残忍之弑太刀 : [破军升龙击],520002
疾风之影太刀 : [破军升龙击],520003
残忍之弑太刀 : [猛龙断空斩],520004
神之怒击太刀 : [猛龙断空斩],520005
残忍之弑太刀 : [幻影剑舞],520006
神之怒击太刀 : [幻影剑舞],520007
残忍之弑太刀 : [崩山击],520008
疾风之影太刀 : [崩山击],520009
苍穹之啸太刀 : [崩山击],520010
嗜血之殇太刀 : [血之狂暴],520011
血之反噬太刀 : [血之狂暴],520012
残忍之弑太刀 : [崩山裂地斩],520013
疾风之影太刀 : [崩山裂地斩],520014
神之怒击太刀 : [崩山裂地斩],520015
残忍之弑太刀 : [冰刃·波动剑],520016
秘技之境太刀 : [冰刃·波动剑],520017
神之怒击太刀 : [冰刃·波动剑],520018
敏捷之灵太刀 : [修罗邪光斩],520019
禁锢之限太刀 : [修罗邪光斩],520020
残忍之弑太刀 : [不动明王阵],520021
禁锢之限太刀 : [不动明王阵],520022
神之怒击太刀 : [不动明王阵],520023
残忍之弑太刀 : [鬼斩],520024
禁锢之限太刀 : [鬼斩],520025
神之怒击太刀 : [鬼斩],520026
禁锢之限太刀 : [刀魂之卡赞],520027
残忍之弑太刀 : [冰霜之萨亚],520028
禁锢之限太刀 : [冰霜之萨亚],520029
残忍之弑太刀 : [鬼影闪],520030
神之怒击太刀 : [鬼影闪],520031
加持的残忍之弑太刀 : [拔刀斩],520032
加持的神之怒击太刀 : [拔刀斩],520033
加持的残忍之弑太刀 : [破军升龙击],520034
加持的疾风之影太刀 : [破军升龙击],520035
加持的残忍之弑太刀 : [猛龙断空斩],520036
加持的神之怒击太刀 : [猛龙断空斩],520037
加持的残忍之弑太刀 : [幻影剑舞],520038
加持的神之怒击太刀 : [幻影剑舞],520039
加持的残忍之弑太刀 : [崩山击],520040
加持的疾风之影太刀 : [崩山击],520041
加持的苍穹之啸太刀 : [崩山击],520042
加持的嗜血之殇太刀 : [血之狂暴],520043
加持的血之反噬太刀 : [血之狂暴],520044
加持的残忍之弑太刀 : [崩山裂地斩],520045
加持的疾风之影太刀 : [崩山裂地斩],520046
加持的神之怒击太刀 : [崩山裂地斩],520047
加持的残忍之弑太刀 : [冰刃·波动剑],520048
加持的秘技之境太刀 : [冰刃·波动剑],520049
加持的神之怒击太刀 : [冰刃·波动剑],520050
加持的敏捷之灵太刀 : [修罗邪光斩],520051
加持的禁锢之限太刀 : [修罗邪光斩],520052
加持的残忍之弑太刀 : [不动明王阵],520053
加持的禁锢之限太刀 : [不动明王阵],520054
加持的神之怒击太刀 : [不动明王阵],520055
加持的残忍之弑太刀 : [鬼斩],520056
加持的禁锢之限太刀 : [鬼斩],520057
加持的神之怒击太刀 : [鬼斩],520058
加持的禁锢之限太刀 : [刀魂之卡赞],520059
加持的残忍之弑太刀 : [冰霜之萨亚],520060
加持的禁锢之限太刀 : [冰霜之萨亚],520061
加持的残忍之弑太刀 : [鬼影闪],520062
加持的神之怒击太刀 : [鬼影闪],520063
神之怒击太刀 : [冰霜之萨亚],520064
残忍之弑太刀 : [死亡墓碑],520065
禁锢之限太刀 : [死亡墓碑],520066
时光之袭太刀 : [死亡墓碑],520067
神之怒击太刀 : [死亡墓碑],520068
加持的神之怒击太刀 : [冰霜之萨亚],520069
加持的残忍之弑太刀 : [死亡墓碑],520070
加持的禁锢之限太刀 : [死亡墓碑],520071
加持的时光之袭太刀 : [死亡墓碑],520072
加持的神之怒击太刀 : [死亡墓碑],520073
苍鹰之眸太刀,520074
无限猛袭太刀,520075
血之泛滥太刀,520076
终极鲁莽太刀,520077
永生之谋杀太刀,520078
黑山流波太刀,520079
暗影之怒太刀,520080
削肉断骨太刀,520081
黑暗之刃太刀,520082
冥炎之灵太刀,520083
幻影之怒太刀,520084
领域支配者太刀,520085
精·加持的残忍之弑太刀 : [拔刀斩],520086
精·加持的神之怒击太刀 : [拔刀斩],520087
精·加持的残忍之弑太刀 : [破军升龙击],520088
精·加持的疾风之影太刀 : [破军升龙击],520089
精·加持的残忍之弑太刀 : [猛龙断空斩],520090
精·加持的神之怒击太刀 : [猛龙断空斩],520091
精·加持的残忍之弑太刀 : [幻影剑舞],520092
精·加持的神之怒击太刀 : [幻影剑舞],520093
精·加持的残忍之弑太刀 : [崩山击],520094
精·加持的疾风之影太刀 : [崩山击],520095
精·加持的苍穹之啸太刀 : [崩山击],520096
精·加持的嗜血之殇太刀 : [血之狂暴],520097
精·加持的血之反噬太刀 : [血之狂暴],520098
精·加持的残忍之弑太刀 : [崩山裂地斩],520099
精·加持的疾风之影太刀 : [崩山裂地斩],520100
精·加持的神之怒击太刀 : [崩山裂地斩],520101
精·加持的残忍之弑太刀 : [冰刃·波动剑],520102
精·加持的秘技之境太刀 : [冰刃·波动剑],520103
精·加持的神之怒击太刀 : [冰刃·波动剑],520104
精·加持的敏捷之灵太刀 : [修罗邪光斩],520105
精·加持的禁锢之限太刀 : [修罗邪光斩],520106
精·加持的残忍之弑太刀 : [不动明王阵],520107
精·加持的禁锢之限太刀 : [不动明王阵],520108
精·加持的神之怒击太刀 : [不动明王阵],520109
精·加持的残忍之弑太刀 : [鬼斩],520110
精·加持的禁锢之限太刀 : [鬼斩],520111
精·加持的神之怒击太刀 : [鬼斩],520112
精·加持的禁锢之限太刀 : [刀魂之卡赞],520113
精·加持的残忍之弑太刀 : [冰霜之萨亚],520114
精·加持的禁锢之限太刀 : [冰霜之萨亚],520115
精·加持的残忍之弑太刀 : [鬼影闪],520116
精·加持的神之怒击太刀 : [鬼影闪],520117
精·加持的神之怒击太刀 : [冰霜之萨亚],520118
精·加持的残忍之弑太刀 : [死亡墓碑],520119
精·加持的禁锢之限太刀 : [死亡墓碑],520120
精·加持的时光之袭太刀 : [死亡墓碑],520121
精·加持的神之怒击太刀 : [死亡墓碑],520122
精·加持的残忍之弑太刀 : [拔刀斩],520123
精·加持的神之怒击太刀 : [拔刀斩],520124
精·加持的残忍之弑太刀 : [破军升龙击],520125
精·加持的疾风之影太刀 : [破军升龙击],520126
精·加持的残忍之弑太刀 : [猛龙断空斩],520127
精·加持的神之怒击太刀 : [猛龙断空斩],520128
精·加持的残忍之弑太刀 : [幻影剑舞],520129
精·加持的神之怒击太刀 : [幻影剑舞],520130
精·加持的残忍之弑太刀 : [崩山击],520131
精·加持的疾风之影太刀 : [崩山击],520132
精·加持的苍穹之啸太刀 : [崩山击],520133
精·加持的嗜血之殇太刀 : [血之狂暴],520134
精·加持的血之反噬太刀 : [血之狂暴],520135
精·加持的残忍之弑太刀 : [崩山裂地斩],520136
精·加持的疾风之影太刀 : [崩山裂地斩],520137
精·加持的神之怒击太刀 : [崩山裂地斩],520138
精·加持的残忍之弑太刀 : [冰刃·波动剑],520139
精·加持的秘技之境太刀 : [冰刃·波动剑],520140
精·加持的神之怒击太刀 : [冰刃·波动剑],520141
精·加持的敏捷之灵太刀 : [修罗邪光斩],520142
精·加持的禁锢之限太刀 : [修罗邪光斩],520143
精·加持的残忍之弑太刀 : [不动明王阵],520144
精·加持的禁锢之限太刀 : [不动明王阵],520145
精·加持的神之怒击太刀 : [不动明王阵],520146
精·加持的残忍之弑太刀 : [鬼斩],520147
精·加持的禁锢之限太刀 : [鬼斩],520148
精·加持的神之怒击太刀 : [鬼斩],520149
精·加持的禁锢之限太刀 : [刀魂之卡赞],520150
精·加持的残忍之弑太刀 : [冰霜之萨亚],520151
精·加持的禁锢之限太刀 : [冰霜之萨亚],520152
精·加持的残忍之弑太刀 : [鬼影闪],520153
精·加持的神之怒击太刀 : [鬼影闪],520154
精·加持的神之怒击太刀 : [冰霜之萨亚],520155
精·加持的残忍之弑太刀 : [死亡墓碑],520156
精·加持的禁锢之限太刀 : [死亡墓碑],520157
精·加持的时光之袭太刀 : [死亡墓碑],520158
精·加持的神之怒击太刀 : [死亡墓碑],520159
神之豁免太刀,27745
裂魂之异次元太刀 - 剑魂,525000
裂魂之异次元太刀 - 鬼泣,525004
裂魂之异次元太刀 - 狂战士,525008
裂魂之异次元太刀 - 阿修罗,525012
精·苍鹰之眸太刀,520160
精·无限猛袭太刀,520161
精·血之泛滥太刀,520162
精·终极鲁莽太刀,520163
精·永生之谋杀太刀,520164
精·黑山流波太刀,520165
精·暗影之怒太刀,520166
精·削肉断骨太刀,520167
精·黑暗之刃太刀,520168
精·冥炎之灵太刀,520169
精·幻影之怒太刀,520170
精·领域支配者太刀,520171
冽风之痕太刀,525001
七伤剑气太刀,525002
天之剑痕太刀,525003
遗忘者的远古太刀,525005
黑暗之魂太刀,525006
夜叉王的降神太刀,525007
厄运之忆太刀,525009
嗜血恶灵太刀,525010
暗之血迹太刀,525011
虚空之怒波太刀,525013
终结之波动太刀,525014
大地之裂波太刀,525015
潜龙幻影太刀,525016
生锈的长刀,27607
(旧) 古老的太刀,27614
(旧) 复仇灵魂之刀,27615
(旧) 短太刀,27616
(旧) 锋利的太刀,27617
(旧) 钝刃佩刀,27619
(旧) 佩刀,27620
(旧) 精致的佩刀,27621
(旧) 裂创心灵之刃,27622
(旧) 旧式节刀,27624
(旧) 节刀,27625
(旧) 锋利的节刀,27626
(旧) 红丸,27627
(旧) 神悦,27628
(旧) 生锈的月华刀,27629
(旧) 月华刀,27630
(旧) 精致的月华刀,27631
(旧) 旧式梅轩刀,27634
(旧) 梅轩刀,27635
(旧) 死亡之刃,27636
(旧) 钢铁梅轩刀,27637
(旧) 西岚的妖刀,27638
(旧) 破旧的大蛇刀,27639
(旧) 白丸,27640
(旧) 大蛇刀,27641
(旧) 坚韧的大蛇刀,27642
(旧) 生锈的影虎刀,27646
(旧) 影虎刀,27647
古老的太刀,27648
短太刀,27649
复仇灵魂之刀,27650
裂创心灵之刃,27651
旧式节刀,27655
节刀,27656
红丸,27658
旧式梅轩刀,27663
梅轩刀,27664
白丸,27666
细雪之舞,27673
武士战刀,27676
骑士腰刀,27677
(旧) 屠戮之刃,27690
(旧) 十字斩刀 - 者,27692
精魂之刀,27697
命运之殇月华刀,27701
信仰之力梅轩刀,27702
不屈之志大蛇刀,27703
古老的死亡之刃,27736
简易武士刀,27746
罗特斯的尖刺触须,27747
旅行者太刀,2223000
铭文刀,2223001
帝国之枯木太刀,2223002
旅行者太刀,2225000
铭文刀,2225001
帝国之红翎太刀,2225002
青铜武士刀,2223102
精铸武士刀,2223103
精炼的武士刀,2223104
将军剑,2223105
真波刀,2223106
长虹贯月刀,2223107
梅轩刀,2223108
冰轮大蛇丸,2223109
妖刀-破心[网咖],27763
库雷奈[网咖],27764
塔志(傀儡),101020024
(旧) 卡坤的小太刀,27618
(旧) 恶鬼斩刀,27623
(旧) 斩龙刀,27632
(旧) 影丸,27633
斩龙刀,27662
影丸,27667
西岚的妖刀,27668
达人之影丸,27679
高科技梅轩刀,27752
卡克玛[网咖],27765
(旧) 十字斩刀 - 斗,27693
传承 : 银湖水仙之武士刀,27680
传承 : 神秘的银湖水仙之武士刀,27681
传承 : 水魔碧灵之枯叶刀,27682
传承 : 神秘的水魔碧灵之枯叶刀,27683
传承 : 惩罚天使之短太刀,27684
传承 : 月影天使之短太刀,27685
传承 : 救赎天使之节刀,27686
传承 : 复魂天使之月华刀,27687
传承 : 玄月精灵之梅轩刀,27688
刹影的斩鬼刀,27698
刹影之魂,27748
(旧) 鬼印杀,27691
杰诺的疾速太刀,27740
生锈的影虎刀,27671
影虎刀,27672
传承 : 暗影精灵之大蛇刀,27689
(旧) 血舞旋月刀,27695
狱岩石太刀,27699
传承 : 风影精灵之影虎刀,27706
戮蛊的骨刃,27709
血舞旋月刀,27717
老旧的艾维亚太刀,27719
艾维亚太刀,27720
传承 : 暴风天使的石化太刀,27723
青环蛇太刀,27726
传承 : 洛水精灵的艾维亚太刀,27728
汲血者的庇护,27729
艾兰德拉的终极太刀,27730
高科技艾维亚太刀,27733
高科技艾维亚太刀,27734
深海之艾维亚太刀,27735
斯卡萨的冰息之刃,27749
血蝴蝶之怒,27750
战争英雄之无双太刀,27755
古老的斩影太刀,27760
斩影太刀,27761
金玉影虎刀,2223110
红莲净月刀,2223111
喋血之艾维亚太刀,2223112
御龙太刀,2223113
智圣太刀,2223114
血腥塞克[网咖],27767
泰拉石太刀,27696
(旧) 泰拉石太刀,27737
生锈的武士刀,27601
劣质的小太刀,27603
锋利的武士刀,27604
小太刀,27605
锋利的小太刀,27606
锋利的长刀,27609
破旧的枯叶刀,27610
枯叶刀,27611
锋利的枯叶刀,27613
钝刃佩刀,27652
佩刀,27653
生锈的月华刀,27659
月华刀,27660
破旧的大蛇刀,27669
大蛇刀,27670
虚祖国刀,27644
死亡之刃,27665
神悦,27661
生锈的净化太刀,27707
净化太刀,27708
血光摄魂刃,27710
屠戮之刃,27712
十字斩刀 - 者,27713
破旧的环蛇刀,27724
环蛇刀,27725
班图的冰毒,27738
泰坦的净化太刀,27744
冥玉惊魂刀,27754
赤柳血刀,27721
真·赤柳血刀,27731
克律萨俄耳金剑,27743
血光摄魂刃[活动],101020029
汲血者的庇护[活动],101020027
佩刀,27800
破损的武士刀,27600
长刀,27608
武士刀,27602
明光追影刀,27769
冥炎刀 - 魂殇,101020037
九龙护魂刀,101020023
龙族之信仰,101020022
青铜太刀,101020033
白银太刀,101020034
黄金太刀,101020035
灵跃之太刀,101020040
无尽之逐神太刀,101020042
薄雾之刃,101020038
西岚的武士刀,27711
十字斩刀 - 闪,27716
流光星陨刀,27675
(旧) 十字斩刀 - 闪,27694
远古逆袭之净化太刀,27704
十字斩刀 - 斗,27715
月之光芒,27718
阿贝托的银光刀,27722
黑刀 - 暗月,27739
流光星陨刀 (活动),27751
流星陨[网咖],27766
火焰拉诺[网咖],27768
火焰拉诺[活动],101020001
火焰拉诺[租借活动],101020002
影丸[活动],101020025
流光星陨刀[活动],101020026
破风刀,27645
秋叶刀,27643
恶鬼斩刀,27657
紫丸,27612
卡坤的小太刀,27654
赤凰战刀,27674
鬼印杀,27714
火焰之拉诺,27741
